Site,Site_City,Site_County,Trap_Type,sample_start_date,sample_end_date,insect_family,insect_tribe,insect_genus,insect_species,insect_sex,nest_location,size
Bastrop Gardens,Bastrop,Bastrop,Pan Trap,6/14/13,6/15/13,Halictidae,Halictini,Lasioglossum,(Dialictus) sp. TX-14,Female,below,small
Bastrop Gardens,Bastrop,Bastrop,Pan Trap,6/14/13,6/15/13,Halictidae,Halictini,Lasioglossum,(Dialictus) sp. TX-14,Female,below,small
Bastrop Gardens,Bastrop,Bastrop,Pan Trap,5/22/13,5/23/13,Halictidae,Halictini,Lasioglossum,(Dialictus) sp. TX-14,Female,below,small
Bastrop Gardens,Bastrop,Bastrop,Pan Trap,5/22/13,5/23/13,Halictidae,Halictini,Lasioglossum,(Dialictus) sp. TX-14,Female,below,small
Bastrop Gardens,Bastrop,Bastrop,Pan Trap,5/22/13,5/23/13,Halictidae,Halictini,Lasioglossum,(Dialictus) sp. TX-14,Female,below,small
Bastrop Gardens,Bastrop,Bastrop,Pan Trap,5/22/13,5/23/13,Halictidae,Halictini,Lasioglossum,(Dialictus) sp. TX-14,Female,below,small
Bastrop Gardens,Bastrop,Bastrop,Pan Trap,5/22/13,5/23/13,Halictidae,Halictini,Lasioglossum,(Dialictus) sp. TX-14,Female,below,small
Bastrop Gardens,Bastrop,Bastrop,Pan Trap,5/22/13,5/23/13,Halictidae,Halictini,Lasioglossum,(Dialictus) sp. TX-14,Female,below,small
Bastrop Gardens,Bastrop,Bastrop,Pan Trap,5/22/13,5/23/13,Halictidae,Halictini,Lasioglossum,(Dialictus) sp. TX-14,Female,below,small
Bastrop Gardens,Bastrop,Bastrop,Pan Trap,5/22/13,5/23/13,Halictidae,Halictini,Lasioglossum,(Dialictus) sp. TX-14,Female,below,small
Bastrop Gardens,Bastrop,Bastrop,Pan Trap,5/22/13,5/23/13,Halictidae,Halictini,Lasioglossum,(Dialictus) sp. TX-14,Female,below,small
Bastrop Gardens,Bastrop,Bastrop,Pan Trap,5/22/13,5/23/13,Halictidae,Halictini,Lasioglossum,(Dialictus) sp. TX-14,Female,below,small
Bastrop Gardens,Bastrop,Bastrop,Pan Trap,5/22/13,5/23/13,Halictidae,Halictini,Lasioglossum,(Dialictus) sp. TX-14,Female,below,small
Bastrop Gardens,Bastrop,Bastrop,Pan Trap,5/22/13,5/23/13,Halictidae,Halictini,Lasioglossum,(Dialictus) sp. TX-14,Female,below,small
Bastrop Gardens,Bastrop,Bastrop,Pan Trap,7/2/13,7/3/13,Halictidae,Halictini,Lasioglossum,(Dialictus) sp. TX-14,Female,below,small
Bastrop Gardens,Bastrop,Bastrop,Pan Trap,7/2/13,7/3/13,Halictidae,Halictini,Lasioglossum,(Dialictus) sp. TX-14,Female,below,small
Bastrop Gardens,Bastrop,Bastrop,Pan Trap,7/2/13,7/3/13,Halictidae,Halictini,Lasioglossum,(Dialictus) sp. TX-14,Female,below,small
Bastrop Gardens,Bastrop,Bastrop,Pan Trap,7/2/13,7/3/13,Halictidae,Halictini,Lasioglossum,(Dialictus) sp. TX-14,Female,below,small
Bastrop Gardens,Bastrop,Bastrop,Pan Trap,7/2/13,7/3/13,Halictidae,Halictini,Lasioglossum,(Dialictus) sp. TX-14,Female,below,small
Bastrop Gardens,Bastrop,Bastrop,Pan Trap,7/2/13,7/3/13,Halictidae,Halictini,Lasioglossum,(Dialictus) sp. TX-14,Female,below,small
Brackenridge Field Laboratory (BFL),Austin,Travis,Pan Trap,5/27/13,5/28/13,Halictidae,Halictini,Lasioglossum,(Dialictus) sp. TX-14,Female,below,small
Brackenridge Field Laboratory (BFL),Austin,Travis,Pan Trap,5/27/13,5/28/13,Halictidae,Halictini,Lasioglossum,(Dialictus) sp. TX-14,Female,below,small
Brackenridge Field Laboratory (BFL),Austin,Travis,Pan Trap,5/27/13,5/28/13,Halictidae,Halictini,Lasioglossum,(Dialictus) sp. TX-14,Female,below,small
Brackenridge Field Laboratory (BFL),Austin,Travis,Pan Trap,7/4/13,7/5/13,Halictidae,Halictini,Lasioglossum,(Dialictus) sp. TX-14,Female,below,small
Brackenridge Field Laboratory (BFL),Austin,Travis,Pan Trap,7/4/13,7/5/13,Halictidae,Halictini,Lasioglossum,(Dialictus) sp. TX-14,Female,below,small
Brackenridge Field Laboratory (BFL),Austin,Travis,Pan Trap,7/4/13,7/5/13,Halictidae,Halictini,Lasioglossum,(Dialictus) sp. TX-14,Female,below,small
Brackenridge Field Laboratory (BFL),Austin,Travis,Pan Trap,7/4/13,7/5/13,Halictidae,Halictini,Lasioglossum,(Dialictus) sp. TX-14,Female,below,small
Brackenridge Field Laboratory (BFL),Austin,Travis,Pan Trap,6/18/13,6/19/13,Halictidae,Halictini,Lasioglossum,(Dialictus) sp. TX-14,Female,below,small
Brackenridge Field Laboratory (BFL),Austin,Travis,Pan Trap,6/18/13,6/19/13,Halictidae,Halictini,Lasioglossum,(Dialictus) sp. TX-14,Female,below,small
Brackenridge Field Laboratory (BFL),Austin,Travis,Pan Trap,6/18/13,6/19/13,Halictidae,Halictini,Lasioglossum,(Dialictus) sp. TX-14,Female,below,small
