Site,(Dialictus) sp. TX-14,(Dialictus) sp.TX- 02,(Dialictus) sp.TX-01,(Dialictus) sp.TX-03,(Dialictus) sp.TX-16,(Dialictus) sp.TX-17,(Dialictus) sp.TX-18,(Dialictus) sp.TX-24,(Dialictus) sp.TX-26,(Dialictus) sp.TX-32,(Dialictus) sp.TX-33,(Dialictus) sp.TX-34,(Dialictus) sp.TX-35,(Dialictus) sp.TX-37,(Dialictus) sp.TX-6,(Dialictus)sp.TX-38,(Hemihalictus) sp. TX-01,(Hemihalictus) sp. TX-1,(Sphecodogastra) sp. DF-01,afflicta,albipennis albipennis,amica,andreniformis,angelicus,apiformis,atripes,aurata,auricomus,australis,bardum,bimaculata,birkmanni,bombiformis,brevis,bruneri,bucconis,calcarata,californica,callidum,capistrata,casadae,chlaybea,coactum,cockerelli,comata,communis,compactula,completa,concinna,conjuncta,connexum,coreopsis,crawfordi,creberrimum,cressonii,curvatum,denticulata,diminuta,diodonta,disparile,dupla,edita,enavata,epameca,exilis,fedorense,fedorica,fimbriata,floridanum,fortis,foveata,gentilis,gibbosus,grandissima,griseocollis,hamata,heterulkei fraternum,hitchensi,hondurasica,hudsoniellum,hunteri,ignota crawfordi,ignota isopappi,illinoense,illinoisensis,imitatum,infuscata,inimica,interruptus,kansensis,krigiana,lanosa,lateralis,ligatus,littoralis,longifrons,lunatus,lusorium,lustrans,mandibularis,marginella,melanochroa,meliloti,mellifera,melliventris,metallica,micans,montivaga,mucorosa,nelumbonis,nortoni,obliqua,occidentalis,ochracea,oenotherae,otomita,parallela,parallelus,parksi,pectorale,pensylvanicus,perpulchra flavidior,perpulchra punctatissima,petulca,piercei,pilosifrons,policaris,producta,prosopidis,pruinosa,rhododontus,rinconis,rivalis,rosae,rotundata,rudbeckiae,sejunctus,semicaeruleum,shinnersi,singularis,sitiliae,solani,sp. 5,splendens,strenua,subfasciata,subnitens,subrufulum,sumptuosa,tabaniformis parkinsoniae,taurea,tegulare,tepaneca,texana,texanum,texanus,texanus/angelicus,townsendiana,tripartitus,tristis,TX-31,variolosa,varipuncta,vierecki,virginica,wheeleri,willistoni,xanthisma
Bastrop Gardens,20,,1,1,,,,,,,,1,3,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,117,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,1,,,,,,,1,1,,,2,2,,,1,,1,,,,,,
Brackenridge Field Laboratory (BFL),13,,,1,1,,,,,,1,2,,,,,,,,,,,,,3,7,,,,10,3,,,1,,,,,,,,,75,,,3,,,,,6,1,,,,,,,,,,,6,,,,,,,,,,,,,,,,,44,5,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,,,,,,,,,,3,,,,,,1,8,,,1,13,,,,,,,,,,,
Clear Creek Natural Heritage,,,,20,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,1,1,,,,,,,,,21,,1,6,,,,,,1,,,,1,,,,7,,,14,,,,,,,,,,2,,,,,,,5,,,1,4,,1,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,1,4,,,1,,,,,,,,1,,,,,,,1,,,,,,,10,,,,,,1,9,,,2,4,,8,,,,,,17,,,1
Commerce Community Garden,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,1,,,1,,1,,,,4,,1,24,,,,,26,1,,,,1,,,,5,,,1,,,,1,,,,,,,,,,,,,5,,1,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3,,,1,,1,,,,,,,,,,,,,5,,,,,,3,,,,,,,54,8,,,,2,,,,,,,1,,,,
Common Ground Community Garden,,,,31,,,,,,,,7,,,1,,,,,,,,,,,2,,,,,19,,7,,,,,,,,,,41,,,35,,,,,,2,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,39,,,,1,,7,,,,,,,,2,,,,,,,,,,3,,,,,,,,1,1,,,,,,,,,,,,,,,,,3,,2,,,,,,,2,,,,,,,,1,,,,,1,8,,,,,,1,,,,3,,1,,,
Connemara Prarie,,,4,103,,,,1,,,,2,,,4,,,,,,,,4,,,,,,,,13,,1,2,,,,,,,,,97,,,9,,,,1,,1,,,,,,,,16,,,,,,,,,,1,,,,,,,,,,7,,,,,,1,,,,,,,,4,,,,1,,,,1,,,,,,,,,,12,,,,,,,,,2,,,,,,1,,,,,,,,2,,,,1,,,,,,,11,,,1,,,28,9,1,,,5,,,,,,,,3,,,
County Line Prairie,,,,15,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,3,,,,,,,,,1,,1,8,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,15,,,,,,,18,6,1,,,1,,,,,,,,2,1,,
Creekwater Ranch,1,,13,38,1,7,,1,6,,,168,,,,,,5,,,,,,,,16,,,,2,,2,,2,25,,,,2,,1,,790,,1,6,,,,,15,70,,,1,4,,1,,7,,1,3,,,,3,,,,1,,1,,,,,1,,6,8,2,6,27,,,,,1,3,,,,18,,1,,,,,,,,,,2,,,,,1,7,,,,,,,,,35,,,3,,,,,,,,4,,,,,,1,3,,1,,,,2,,,,,,,,45,2,1,16,30,,51,,,,,,2,1,1,1
Deer Park at Maple Run,23,,1,78,31,,,,,,,,,,,,,,,,,,,,,3,1,,,15,,,,,10,,,1,,,,,9,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,3,,2,,,,,1,,,,,,,,,,,,,1,,,,,,,,4,,,,,,1,8,,,,,,,,,1,,1,,,6,,1,,,,,,,,,,,,,
Elisabet Ney Museum (ENM),11,1,,27,39,,,,,,,3,,,,,,,,,,,,,10,5,,,,8,39,,,,1,,,,,,,,176,,,2,,,,,1,2,,,,,,,1,,,,6,,,,,,,,,,,,,,,,,2,,,1,,,1,,1,,,,,,3,,,,,,,,,,6,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,3,,,,1,,,20,,,2,,,,,,1,,,1,,,
